id,countryCode,month,year,lengthStay,numberVisitors,annualAccumulated
lsv_302,es,9,2017,4,2361547,16522226
lsv_303,es,8,2017,4,3544796,14160678
lsv_304,es,7,2017,4,3263697,10615883
lsv_305,es,6,2017,4,2010679,7352185
lsv_306,es,5,2017,4,1533922,5341506
lsv_307,es,4,2017,4,1416359,3807584
lsv_308,es,3,2017,4,822569,2391225
lsv_309,es,2,2017,4,667406,1568656
lsv_310,es,1,2017,4,901250,901250
lsv_311,es,12,2016,4,726971,19213628
lsv_312,es,11,2016,4,711370,18486656
lsv_313,es,10,2016,4,1694885,17775287
lsv_314,es,9,2016,4,2243738,16080402
lsv_315,es,8,2016,4,3563688,13836664
lsv_316,es,7,2016,4,3101101,10272976
lsv_317,es,6,2016,4,2028011,7171875
lsv_318,es,5,2016,4,1505560,5143864
lsv_319,es,4,2016,4,1265111,3638304
lsv_320,es,3,2016,4,909021,2373193
lsv_321,es,2,2016,4,681305,1464173
lsv_322,es,1,2016,4,782868,782868
lsv_323,es,12,2015,4,683303, 
lsv_324,es,11,2015,4,738761, 
lsv_325,es,10,2015,4,1517770, 
lsv_326,es,2,2021,5,50831,132059
lsv_327,es,1,2021,5,81227,81227
lsv_328,es,12,2020,5,110760,1980031
lsv_329,es,11,2020,5,74361,1869270
lsv_330,es,10,2020,5,127418,1794909
lsv_331,es,9,2020,5,161294,1667491
lsv_332,es,8,2020,5,352562,1506197
lsv_333,es,7,2020,5,248978,1153635
lsv_334,es,6,2020,5,18002,904656
lsv_335,es,5,2020,5,0,886654
lsv_336,es,4,2020,5,0,886654
lsv_337,es,3,2020,5,176273,886654
lsv_338,es,2,2020,5,316391,719902
lsv_339,es,1,2020,5,403511,403511
lsv_340,es,12,2019,5,352600,5290248
lsv_341,es,11,2019,5,295561,4937648
lsv_342,es,10,2019,5,462098,4642087
lsv_343,es,9,2019,5,501515,4179990
lsv_344,es,8,2019,5,832952,3678474
lsv_345,es,7,2019,5,653915,2845522
lsv_346,es,6,2019,5,425849,2191607
lsv_347,es,5,2019,5,346198,1765759
lsv_348,es,4,2019,5,342991,1419560
lsv_349,es,3,2019,5,363299,1076570
lsv_350,es,2,2019,5,304191,713271
lsv_351,es,1,2019,5,409080,409080
lsv_352,es,12,2018,5,385619,5514877
lsv_353,es,11,2018,5,293580,5129258
lsv_354,es,10,2018,5,421291,4835677
lsv_355,es,9,2018,5,542869,4414387
lsv_356,es,8,2018,5,861185,3871518
lsv_357,es,7,2018,5,672127,3010333
lsv_358,es,6,2018,5,446282,2338206
lsv_359,es,5,2018,5,386036,1891924
lsv_360,es,4,2018,5,319569,1505888
lsv_361,es,3,2018,5,410727,1186319
lsv_362,es,2,2018,5,340019,775592
lsv_363,es,1,2018,5,435573,435573
lsv_364,es,12,2017,5,374612,5799834
lsv_365,es,11,2017,5,354063,5425222
lsv_366,es,10,2017,5,461347,5071159
lsv_367,es,9,2017,5,511219,4609812
lsv_368,es,8,2017,5,1012683,4098593
lsv_369,es,7,2017,5,758293,3085909
lsv_370,es,6,2017,5,480637,2327617
lsv_371,es,5,2017,5,423170,1846979
lsv_372,es,4,2017,5,316115,1423810
lsv_373,es,3,2017,5,382768,1107694
lsv_374,es,2,2017,5,320666,724927
lsv_375,es,1,2017,5,404260,404260
lsv_376,es,12,2016,5,413182,5362319
lsv_377,es,11,2016,5,261479,4949137
lsv_378,es,10,2016,5,431145,4687659
lsv_379,es,9,2016,5,523448,4256514
lsv_380,es,8,2016,5,991379,3733065
lsv_381,es,7,2016,5,702843,2741687
lsv_382,es,6,2016,5,459750,2038843
lsv_383,es,5,2016,5,343631,1579093
lsv_384,es,4,2016,5,291811,1235462
lsv_385,es,3,2016,5,307849,943650
lsv_386,es,2,2016,5,276540,635801
lsv_387,es,1,2016,5,359261,359261
lsv_388,es,12,2015,5,317998, 
lsv_389,es,11,2015,5,260319, 
lsv_390,es,10,2015,5,386828, 
